bg,eq_BG,CGM_glucose,IOB,rate,running_temp,unsafe_action_reason
144.65,121,144.6491903175571,0.693,0.95,1.15,row_2
144.69,121,144.694682358036,0.711,0.95,0.95,Null
144.74,120,144.73840851407175,0.723,0.95,0.95,Null
144.78,122,144.7801195290392,0.684,1.2,0.95,Null
144.82,123,144.8198829928434,0.66,0.95,1.2,row_2
144.86,122,144.85799633631808,0.679,0.95,0.95,Null
144.89,121,144.8949162160662,0.698,1.2,0.95,Null
144.93,123,144.93050097868561,0.675,0.9,1.2,row_2
144.96,122,144.96488092854747,0.685,1.2,0.9,Null
145,124,144.9983807006901,0.655,0.95,1.2,row_2
145.03,122,145.03075525481097,0.681,0.95,0.95,Null
145.06,122,145.06219603572438,0.7,1.2,0.95,Null
145.09,123,145.0923641686412,0.662,0.9,1.2,row_2
145.12,122,145.121249022649,0.69,1.2,0.9,Null
145.15,124,145.14907970028472,0.65,0.95,1.2,row_2
145.18,123,145.17555115725804,0.669,0.95,0.95,Null
145.2,122,145.20082387156344,0.697,1.2,0.95,Null
145.22,124,145.22454972168225,0.658,0.95,1.2,row_2
145.25,123,145.24672617353178,0.676,0.95,0.95,Null
145.27,122,145.2676033010968,0.705,1.2,0.95,Null
145.29,123,145.28690566371873,0.665,0.95,1.2,row_2
145.3,123,145.30468942111602,0.675,0.95,0.95,Null
145.32,124,145.3212514286754,0.654,1.15,0.95,Null
145.34,123,145.33635265521767,0.674,0.9,1.15,Null
145.35,124,145.3500772632647,0.642,1.2,0.9,Null
145.36,123,145.3627430147425,0.67,0.95,1.2,Null
145.37,123,145.37426622607597,0.681,0.95,0.95,Null
145.38,122,145.3849790174903,0.699,1.2,0.95,Null
145.39,123,145.39466213697202,0.677,0.95,1.2,row_2
145.4,122,145.4034075422198,0.687,0.95,0.95,Null
145.41,122,145.41153128927425,0.696,1.2,0.95,Null
145.42,123,145.41879974593192,0.675,0.9,1.2,row_2
145.43,122,145.42529210854755,0.694,1.2,0.9,Null
145.43,124,145.4313130376956,0.662,0.95,1.2,row_2
145.44,122,145.4366185674883,0.69,1.15,0.95,Null
145.44,124,145.44141927884678,0.651,1.05,1.15,row_2
145.45,123,145.44540552281293,0.67,1.05,1.05,Null
